ID,dnu,nmax,epsilon,k,A,omega,phi,tau
11083319,4.24,10.59,0.77,0.03,0.18,3.01,0.07,6.85
9456478,2.5,7.06,0.08,0.03,0.17,3.07,2.04,8.02
11752056,4.2,7.8,0.85,0.04,0.19,2.8,-0.29,6.25
11250139,4.57,8.38,0.11,0.04,0.19,3.11,-0.56,5.58
11721374,5.93,9.86,0.15,0.04,0.2,3.32,9e-3,7.82
9534934,5.24,8.98,0.07,0.04,0.18,3.15,1.22,5.46
8676094,3.56,7.01,0.89,0.03,0.19,3.03,-0.87,9.03
12005162,12.88,12.07,0.27,0.05,0.22,2.44,4.79,10.14
8154383,6.37,10.17,0.15,0.03,0.19,3.55,-2.22,9.46
7811522,3.4,7.57,0.87,0.04,0.18,3.09,-1.37,7.13
