,dnu,nmax,epsilon,k,a,omega,phi,tau
0,3.7746661500843315,8.909743548906642,-0.07408390772046691,0.04000142843762286,0.20012836541489626,3.6960334287978673,-0.2877827467786713,9.418238011413505
1,3.977721855005096,8.24523940939983,-0.021279445613005106,0.039997625909899144,0.200136213014745,2.3187503968399166,4.942493298190215,9.519606087858449
2,5.346790434172847,10.247159876153429,0.1286920490704561,0.03999598536240327,0.19998768882090215,2.960478183731825,2.535166314012788,7.8965212913530936
3,4.996503981462811,7.429712313239872,0.01013183000371391,0.040927696091822736,0.22111623409780287,2.159576087739084,6.273541325259364,34.22990955731662
4,4.384522546027282,8.646312484940948,-0.04192145303364424,0.03998951229356963,0.20004297252235803,2.4782562464886713,2.859963051317066,9.080585478099735
5,4.068102188898864,7.832364996503594,0.9054289386001577,0.03998427990983767,0.20009848957077941,2.9162494691289536,2.1419610432740557,8.761844825294508
6,3.0385911404622767,7.767982857741916,0.023404679933712366,0.03996581770223522,0.2000059105291925,3.007715797714871,2.252497607946731,8.985265975459958
7,2.4209326841907375,7.703522978318356,0.8989492548965089,0.03997618044149123,0.2000795532577331,2.9897052320167115,2.0331073577334986,8.59336515508655
8,4.181595444206582,7.203492540212754,0.9466478616215638,0.03998803521074339,0.19999931777110352,2.779801464107358,5.343849575166439,8.243585182409507
9,4.785271355136452,8.83616475274539,0.04049725739420493,0.040001610192301654,0.19999546617498135,3.1767269042708515,2.492241991351218,7.238847945194912
10,4.955414999982482,10.766993381574007,0.05140933954610182,0.03997569075001232,0.19996783999563014,3.094597198600783,0.4729373981702971,6.984055847400445
11,4.382371407858452,10.174720140842314,-0.005467110880399943,0.03999188186704927,0.19997901463561363,3.0867891153261677,-0.5985124559534941,7.12144398326996
12,7.462227402872457,10.957184703257502,0.25887597125880035,0.03992918820016742,0.20084789917688703,3.981650185604633,-2.689903174465462,13.79325300950144
13,4.262673621152425,7.268158590382722,0.8985357815750402,0.040006228411402424,0.1999534344564054,2.915167217609504,2.0094965901181654,6.40574114019737
14,5.043918552332064,10.754423769544593,0.016614203264137966,0.03996373910763544,0.1999275186301325,2.4583216482500236,5.687984466599362,8.3653508381575
15,7.301604276529947,11.209752772796566,0.16885817481316678,0.03998114672521383,0.20012537054629853,2.8416263480794015,5.494282732482403,9.523972907658795
16,6.632889167825847,10.033122405924852,0.15401962519915124,0.04000152047766768,0.2000981567342723,3.778691296575399,-2.6910639878988594,9.626573247826077
17,4.397685413960342,8.75729606527175,0.07841683301261392,0.03999409116412038,0.19994655646627707,2.8864830127727616,0.6624218678863071,6.785690386453638
18,8.279443313199748,10.388874252651211,0.26357242841864886,0.03999047776778036,0.20039423794559147,2.540210400152943,4.743549054039948,8.887464182968175
19,4.209440802816336,8.220247485446485,-0.020000502874775256,0.03999117526049512,0.19994280115393984,2.6868406388782633,2.169429313897223,6.808635149467416
20,2.01030892230673,7.433586999363775,0.7688495306554676,0.039987289412564644,0.19991494071577248,2.4521911211799203,3.855331367573538,6.453781530949779
21,7.364222174341348,11.389313078400056,0.15133395925050477,0.039990591543243,0.2001351636214223,2.852429133018319,2.39494034659646,9.773759519663463
22,4.529070094199228,9.183164531965476,0.012981936984967773,0.03999396855078511,0.19999505715077717,3.630726312750003,0.37816099651026003,7.852037175495067
23,4.206073070125504,8.025178417391675,0.046985335332983075,0.03999110503604803,0.1999879795056175,2.4399414553858554,3.8973440635210927,8.337821620488487
24,3.9059610768906707,6.954010940056262,0.8905406328390237,0.040000704145798385,0.1999985291082482,3.0304573479980164,-1.0349600665548562,7.5038550442453475
25,4.184257914701289,8.22865831627974,-0.061378508509707976,0.039992956602434675,0.19998327398061688,2.8737452527257625,2.28272204101705,7.355857951868388
26,4.258620881669378,7.9039571919148015,0.9174241460664567,0.04000105812582867,0.19998163909160024,2.4870348797136774,4.885986987386068,8.691698738449565
27,4.085944984862495,8.678738330985096,-0.00245881348978215,0.0399856219712203,0.20000392034228345,3.1366489744179145,4.6132541552010755,7.978427764971425
28,8.492133640079265,12.15920088480279,0.1669829416413175,0.03999234955084034,0.20010567689002637,2.3701249619800535,2.5781005630228995,9.294611468741357
29,4.5748496483088354,8.984976049018199,0.0053267848436176915,0.04000174558984082,0.19996314017409814,3.1184358731614576,-1.2390904013362058,6.833987203500992
30,3.773799556990001,7.365584772023357,0.9198964800917936,0.039964687834911174,0.20008708309676676,3.1243817589710243,-1.4796860823301514,7.761427471162549
31,4.592957616864679,10.09446799391204,-0.057375443334052624,0.039972513234581196,0.2000791912679483,2.7882053060652026,0.6634013446622159,9.195575976418729
32,7.9524033788910895,12.369756367657336,0.10859351388712403,0.040015903878099515,0.20035816614504084,2.2300665389730376,6.033814605553294,10.934070794143011
33,4.78713548353679,9.991776517616978,0.059972884377557344,0.03997488265083905,0.20011408206762457,2.685891934867767,4.524799528201697,9.20616102163569
34,6.585970732162509,11.332451543762073,0.1645678534317045,0.03996847992879506,0.20014887311572974,2.355002974980869,5.779853613752658,10.053297243216868
35,4.321093004772985,8.731895917952704,0.019776550746421213,0.03998583129032749,0.1999946277174805,3.0772168796743884,-1.1552543469320975,7.467619704770601
36,4.433842864742645,8.911655155384612,0.8001316877550416,0.040008067866434405,0.20007505041860146,3.117896942847529,1.5303085077776937,9.163129630403974
37,3.943178149576943,7.7449812737767045,0.8501334095178885,0.04000557033332117,0.20001427072401243,3.0931887189153398,1.886297765620678,8.802084167864276
38,6.549265925220911,10.238033845044407,0.11694027275888456,0.04000195559435374,0.20017977159571287,2.6257394755382633,-0.26998908497890217,10.333640857114101
39,4.381312472222798,6.060882312013912,0.9351902502163412,0.04000345185785646,0.19993206567539856,3.1812330091911294,4.172343098883826,7.855313858256515
40,4.125025354566012,7.9060213929324075,-0.029245268349499177,0.04000073535197891,0.19998744981360422,2.74581294499215,-3.382253920766748,7.90961695250156
41,4.432864023900704,9.999163608924707,-0.052349742523247096,0.03996725198903872,0.19995928818802025,3.9094304186471716,-3.3860208199849824,8.755001635177551
42,3.6632183535274265,7.36426383561691,0.890937712041763,0.03999829773762491,0.1999826329831535,3.4570860513142967,-1.5806343841847545,7.648660415160716
43,4.096433469753955,6.940701020956908,0.849060406516385,0.04000214784121375,0.19999815033923563,2.9597964848860387,-0.9471865083717639,7.564644592430044
44,4.131389747372728,7.712722052207524,0.8959151306193608,0.03999567272956743,0.19992099212282274,3.0491943496446603,2.323366278245287,7.127271592190341
45,5.102118780457802,9.596792701905871,0.9340540863548528,0.039965278222118594,0.20002643802825046,3.06227480238928,0.35703477775184145,8.023562807667057
46,5.819912837945171,11.249864276664338,0.11707145674885654,0.03994734865263614,0.20015720100933385,3.116450320772221,0.14860516929333634,10.01250678945726
47,3.931931881788446,7.8855827073149065,0.9051542455184448,0.03998668168358205,0.19999129207436964,3.11723601732223,1.8156517312017662,6.987263435499753
48,3.1004402298967695,8.2507739445297,-0.06195454184087176,0.03998780760864694,0.19995762055866403,3.08527382304091,1.764232281643797,6.986992096893005
49,4.432665183035642,10.007851508809782,-0.05182944813545749,0.03996742952802042,0.19996174329496658,3.926291364841819,-5.9058317247110725,8.732188326023888
