1,93.054,78.859,78.859,93.054,78.859,78.859,39.936,33.844,33.844,
2,4.919,4.168,83.027,4.919,4.168,83.027,29.973,25.401,59.245,
3,2.488,2.108,85.136,2.488,2.108,85.136,19.147,16.226,75.471,
4,1.889,1.601,86.736,1.889,1.601,86.736,13.252,11.230,86.702,
5,1.124,0.953,87.689,1.124,0.953,87.689,1.165,0.988,87.689,
6,0.967,0.819,88.508,,,,,,,
7,0.772,0.654,89.163,,,,,,,
8,0.596,0.505,89.668,,,,,,,
9,0.522,0.443,90.110,,,,,,,
10,0.507,0.430,90.540,,,,,,,
11,0.463,0.392,90.932,,,,,,,
12,0.428,0.363,91.295,,,,,,,
13,0.412,0.349,91.645,,,,,,,
14,0.399,0.338,91.983,,,,,,,
15,0.380,0.322,92.305,,,,,,,
16,0.355,0.301,92.606,,,,,,,
17,0.334,0.283,92.889,,,,,,,
18,0.310,0.263,93.152,,,,,,,
19,0.303,0.257,93.409,,,,,,,
20,0.282,0.239,93.647,,,,,,,
21,0.275,0.233,93.880,,,,,,,
22,0.258,0.218,94.098,,,,,,,
23,0.244,0.207,94.305,,,,,,,
24,0.234,0.198,94.503,,,,,,,
25,0.232,0.197,94.700,,,,,,,
26,0.221,0.187,94.887,,,,,,,
27,0.214,0.181,95.068,,,,,,,
28,0.210,0.178,95.246,,,,,,,
29,0.194,0.164,95.410,,,,,,,
30,0.186,0.158,95.568,,,,,,,
31,0.181,0.153,95.721,,,,,,,
32,0.180,0.153,95.874,,,,,,,
33,0.175,0.148,96.022,,,,,,,
34,0.165,0.140,96.162,,,,,,,
35,0.160,0.136,96.298,,,,,,,
36,0.159,0.135,96.433,,,,,,,
37,0.153,0.130,96.563,,,,,,,
38,0.147,0.124,96.687,,,,,,,
39,0.144,0.122,96.809,,,,,,,
40,0.141,0.120,96.928,,,,,,,
41,0.134,0.113,97.042,,,,,,,
42,0.127,0.108,97.150,,,,,,,
43,0.123,0.104,97.254,,,,,,,
44,0.115,0.098,97.352,,,,,,,
45,0.114,0.097,97.448,,,,,,,
46,0.111,0.094,97.542,,,,,,,
47,0.110,0.093,97.635,,,,,,,
48,0.106,0.090,97.726,,,,,,,
49,0.103,0.087,97.813,,,,,,,
50,0.099,0.084,97.897,,,,,,,
51,0.095,0.080,97.977,,,,,,,
52,0.093,0.079,98.056,,,,,,,
53,0.092,0.078,98.134,,,,,,,
54,0.089,0.075,98.209,,,,,,,
55,0.083,0.071,98.280,,,,,,,
56,0.082,0.070,98.349,,,,,,,
57,0.080,0.068,98.417,,,,,,,
58,0.078,0.066,98.483,,,,,,,
59,0.074,0.063,98.546,,,,,,,
60,0.072,0.061,98.606,,,,,,,
61,0.068,0.058,98.664,,,,,,,
62,0.067,0.057,98.721,,,,,,,
63,0.066,0.056,98.777,,,,,,,
64,0.063,0.054,98.831,,,,,,,
65,0.061,0.052,98.883,,,,,,,
66,0.058,0.049,98.932,,,,,,,
67,0.056,0.048,98.979,,,,,,,
68,0.054,0.046,99.026,,,,,,,
69,0.054,0.045,99.071,,,,,,,
70,0.050,0.043,99.114,,,,,,,
71,0.049,0.042,99.155,,,,,,,
72,0.048,0.041,99.196,,,,,,,
73,0.046,0.039,99.235,,,,,,,
74,0.045,0.038,99.273,,,,,,,
75,0.044,0.037,99.311,,,,,,,
76,0.042,0.036,99.346,,,,,,,
77,0.040,0.034,99.380,,,,,,,
78,0.038,0.033,99.413,,,,,,,
79,0.036,0.031,99.443,,,,,,,
80,0.035,0.030,99.473,,,,,,,
81,0.034,0.028,99.501,,,,,,,
82,0.033,0.028,99.529,,,,,,,
83,0.031,0.027,99.556,,,,,,,
84,0.030,0.026,99.581,,,,,,,
85,0.029,0.025,99.606,,,,,,,
86,0.027,0.023,99.629,,,,,,,
87,0.026,0.022,99.651,,,,,,,
88,0.026,0.022,99.673,,,,,,,
89,0.024,0.021,99.694,,,,,,,
90,0.024,0.020,99.714,,,,,,,
91,0.023,0.019,99.734,,,,,,,
92,0.022,0.019,99.752,,,,,,,
93,0.021,0.018,99.770,,,,,,,
94,0.020,0.017,99.787,,,,,,,
95,0.019,0.016,99.803,,,,,,,
96,0.017,0.015,99.818,,,,,,,
97,0.017,0.014,99.832,,,,,,,
98,0.016,0.014,99.846,,,,,,,
99,0.016,0.013,99.859,,,,,,,
100,0.015,0.013,99.872,,,,,,,
101,0.014,0.012,99.884,,,,,,,
102,0.013,0.011,99.895,,,,,,,
103,0.012,0.010,99.905,,,,,,,
104,0.012,0.010,99.915,,,,,,,
105,0.011,0.009,99.924,,,,,,,
106,0.010,0.009,99.933,,,,,,,
107,0.010,0.008,99.941,,,,,,,
108,0.009,0.007,99.949,,,,,,,
109,0.008,0.007,99.955,,,,,,,
110,0.008,0.007,99.962,,,,,,,
111,0.007,0.006,99.968,,,,,,,
112,0.007,0.006,99.974,,,,,,,
113,0.006,0.005,99.979,,,,,,,
114,0.006,0.005,99.984,,,,,,,
115,0.006,0.005,99.989,,,,,,,
116,0.005,0.004,99.994,,,,,,,
117,0.004,0.003,99.997,,,,,,,
118,0.003,0.003,100.000,,,,,,,
